,listing,price,brand,size
208,Green Matt & Nat Tote with Adjustable Strap,39.0,Matt,OS
209,Saie Lavender Makeup Bag,30.0,Saie,OS
210,Coach Vintage Laura Spectator Handbag Grey & Ivory Pebbled Leather Bag Charms,149.0,Coach,OS
211,Michael Kors Limited Edition Jet Set Studded Travel tote,298.0,Michael Kors,OS
212,Etro Paisley Multicolor Top Handle Bag,185.0,Etro,OS
213,Fossil Yellow Leather Mini Maddox Keyhole Messenger Crossbody Bag,30.0,Fossil,OS
214,"Aranaz Carrie Sling Bag
          
      NWT",145.0,No Brand Listed,No Size Listed
215,Host Pick! NWT London Fog Kylar Woven Tote Black,38.0,London Fog,OS
216,"Michael Kors Sullivan Small Convertible Top Zip Leather Tote
          
      NWT",175.0,Michael Kors,OS
217,VINTAGE Tapestry Needlepoint Chained Mini Clutch,30.0,Vintage,OS
218,Red Croco Embossed Handbag With Chain Details,9.0,No Brand Listed,No Size Listed
219,Tommy Hilfiger Signature Chain Bag,45.0,Tommy Hilfiger,No Size Listed
220,"Michael Kors large trifold leather wallet black new
          
      NWT",88.0,Michael Kors,OS
221,"WESTBRONCO Small Puffer Quilted Bag In Green
          
      NWT",45.0,No Brand Listed,No Size Listed
222,"NWT‎ Herschel Supply Co. NOVA Dusty Cedar Mini Backpack Essential School
          
      NWT",30.0,Herschel Supply Company,OS
223,Stephanie Johnson Black Faux Fur Cosmetic Travel Roll Bag Rhinestone Accent,15.0,Stephanie Johnson,One Size
224,Italian Handmade Burlap Clutch,55.0,Handmade,OS
225,"Stella McCartney Bananatex Crossbody Bag
          
      NWT",300.0,Stella McCartney,OS
226,Vintage Elegant Brown Leather Clutch with Floral Design,45.0,unknown,OS
227,"NWT Camilla Coin And Phone Purse Painted Land Tassel Clutch Fan Bag Boho Chic
          
      NWT",60.0,Camilla,OS
228,"Kate spade Alice cosmetic bag
          
      NWT",97.0,kate spade,OS
229,Authentic Balenciaga Agneau classic fold wallet Gris aluminum (silver),206.0,Balenciaga,OS
230,"🖤❤️NWT-STEVE MADDEN BLEEDING HEART ZIP AROUND WALLET/WRISTLET🖤❤️
          
      NWT",43.0,Steve Madden,OS
231,VTG Moroccan brown leather bucket bag handcrafted art BOHO Pocket Diamond 14.5x8,55.0,Unbranded vintage,OS
232,Liberty of London clutch wallet for Target NWOT,25.0,Liberty of London for Target,OS
233,NWOT Red Leather Embossed Artisanal Women's Wallet,42.0,MEXICANA,OS
234,Cynthia Rowley Woven cotton floral lined beach bag backpack braided OS,32.0,Cynthia Rowley,OS
235,Authentic Coach 2WAY Olive Green Park Leather Hobo Bag! COA included,138.0,Coach,OS
236,Mach & Mach Holographic Iridescent Green Puffed Bow Mini Shoulder Bag​,500.0,MACH,OS
237,"⭐🔥BUY NOW, PAY LATER!!!🔥⭐",500.0,Louis Vuitton,OS
238,Chico's Leopard Print Bag Purse Clutch Calf Hair Cow Leather Gold Chain Tassel,30.0,Chico,OS
239,India Hicks Black and Tan Leather Takeout Wallet NWOT,100.0,India Hicks,OS
